PARTICIPANT_ID	AGE	GENDER	HAS_TAKEN_TYPING_COURSE	COUNTRY	LAYOUT	NATIVE_LANGUAGE	FINGERS	TIME_SPENT_TYPING	KEYBOARD_TYPE	ERROR_RATE	AVG_WPM	AVG_IKI	KSPC	ROLLOVER	AVG_KEYPRESS
27252	17	male	1	US	qwerty	en	9.loka	1	full	7.41190765492102	56.4777	177.07749739922	1.20535714285714	0.1247	104.899626913265
36718	13	female	1	KR	qwertz	en	7.elo	5	laptop	0.461538461538462	26.671	393.736794321767	1.15100154083205	0.0396	137.386790446841
56281	31	male	0	US	qwerty	en	9.loka	1	full	1.38121546961326	65.1923	159.431571813031	1.15256588072122	0.2831	102.910267267684
64663	16	male	0	US	qwerty	en	5.kesä	1	full	0	37.2631	279.294230912162	1.15650741350906	0.0699	106.803952718287
64816	27	none	0	CA	qwerty	zh	3.huhti	3	laptop	2.61437908496732	23.0143	304.720882901554	1.2996632996633	0.1114	154.067020538721
67159	12	male	1	US	qwerty	en	9.loka	2	laptop	2.89330922242315	49.8187	176.244411886792	1.25688073394495	0.4328	115.216977981651
97737	40	female	0	US	qwerty	en	9.loka	6	laptop	2.93663060278207	47.8766	242.624013578275	1.04992199687988	0.2325	122.653868798752
145007	31	female	1	US	qwerty	en	7.elo	10	full	1.17122141662019	70.2767	153.48535194085	1.1205035971223	0.4556	105.264389388489
159915	29	male	0	PH	qwerty	tl	1.helmi	8	laptop	2.04081632653061	33.3094	332.013796917148	1.09737827715356	0.2032	139.916735018727
264420	11	female	0	US	azerty	en	9.loka	1	laptop	3.45368916797488	13.8817	630.914197545008	1.31150159744409	0.0608	138.715215335463
271802	21	female	0	US	qwerty	en	9.loka	7	laptop	0.58252427184466	79.1131	142.135387	1.07184466019417	0.5009	114.496438640777
373245	32	female	1	US	qwerty	en	9.loka	7	full	0.161550888529887	78.7933	144.701925993378	1.05654281098546	0.2942	111.647917447496
379387	19	male	0	MY	qwerty	zh	5.kesä	1	laptop	0.975609756097561	34.059	286.40893277592	1.2463295269168	0.1135	80.5218280587276
401129	37	male	0	US	qwerty	en	9.loka	3	laptop	1.61812297734628	72.3745	134.929597180763	1.14886731391586	0.2014	78.6887336569579
405680	18	male	1	US	qwerty	en	9.loka	3	laptop	0.184842883548983	90.7792	119.019740761905	1.11296296296296	0.4915	99.3623412962963
438530	13	female	0	GB	qwerty	cy	3.huhti	3	full	1.11731843575419	35.8638	274.000696846847	1.23747276688453	0.2297	129.772079520697
444311	20	none	0	US	qwerty	en	1.helmi	1	laptop	5.57184750733138	34.8303	279.733519699248	1.11176470588235	0.0432	108.944770735294
455926	15	female	0	US	qwerty	en	9.loka	1	laptop	1.58982511923688	46.6917	240.206444771242	1.08612440191388	0.2658	135.856798245614
473281	25	female	1	US	qwerty	en	1.helmi	8	laptop	10.5162523900574	92.8505	122.438291546392	1.066	0.2355	76.0451414
473365	55	female	0	PH	qwerty	tl	9.loka	2	full	0.0875656742556918	33.9482	303.51174040404	1.15927750410509	0.3734	180.88260591133
